CRN_KEY,SUBJ_CODE,CRSE_NUMBER,Credit_Hours,Semester,Year,Title,Instructor_Name,Meet_Days1,Begin_Time1,End_Time1,Meet_Days2,Begin_Time2,End_Time2,Category
22110,CSCI,4350,3,Spring,2023,COMPUTER GRAPHICS,,,,,,,,EL
23361,CSCI,4352,3,Spring,2023,GAME PROGRAMMING,"Halic, Tansel",TR,1440,1555,,,,EL
22112,CSCI,4353,3,Spring,2023,INTRO TO MULTIMEDIA COMPUTING,"Sun, Yu",TR,1215,1330,,,,EL
17973,CSCI,4357,3,Spring,2023,PROGRAMMING MOBILE DEVICES,"Smith, Mark R",MWF,1100,1150,,,,EL
23360,CSCI,4371,3,Spring,2023,MACHINE LEARNING,,,,,,,,EL
23358,CSCI,4372,3,Spring,2023,DATA CLUSTERING,"Celebi, Mehemmed E",,0,2359,,,,EL
16276,CSCI,4390,3,Spring,2023,THEORY OF COMPUTATION,"Kockara, Sinan",,0,2359,,,,EL
11216,CSCI,4490,4,Spring,2023,SOFTWARE ENGINEERING,"Smith, Mark R",TR,1440,1620,,,,RM
23330,CSEC,2300,3,Spring,2023,INTRODUCTION TO CYBERSECURITY,"Alsharif, Ahmad H",TR,1050,1205,,,,EL
23778,CSEC,3300,3,Spring,2023,NUMBER THEORY AND CRYPTOGRAPHY,,MWF,1100,1150,,,,EL
24718,CSEC,3320,3,Spring,2023,COMPUTER FORENSICS,,TR,1215,1330,,,,EL
25388,CSEC,4320,3,Spring,2023,ETHICAL HACKING,"Erdin, Enes",TR,1215,1330,,,,EL
24902,CSEC,4335,3,Spring,2023,NETWORK SECURITY,,,,,,,,EL
12099,MATH,1390,3,Spring,2023,COLLEGE ALGEBRA,"Moody, Kaitlyn N",TR,1215,1330,,,,CM
12103,MATH,1390,3,Spring,2023,COLLEGE ALGEBRA,"Allred, Jordan R",MWF,1300,1350,,,,CM
12104,MATH,1390,3,Spring,2023,COLLEGE ALGEBRA,"Johnson, Gillian N",TR,1050,1205,,,,CM
14209,MATH,1491,4,Spring,2023,APPLIED CALCULUS FOR LIFE SCI,"Johnson, Garth B",,,,,,,CM
14210,MATH,1491,4,Spring,2023,APPLIED CALCULUS FOR LIFE SCI,"Johnson, Garth B",,,,,,,CM
18586,MATH,1496,4,Spring,2023,CALCULUS I,,,,,,,,CM
