CRN_KEY,SUBJ_CODE,CRSE_NUMBER,Credit_Hours,Semester,Year,Title,Instructor_Name,Meet_Days1,Begin_Time1,End_Time1,Meet_Days2,Begin_Time2,End_Time2,Category
80000,BIOL,1440,4,Spring,2024,PRIN OF BIOLOGY I,"Padberg, Jeffrey J",TR,800,915,W,1400,1650,OR
80001,BIOL,1440,4,Spring,2024,PRIN OF BIOLOGY I,"Padberg, Jeffrey J",TR,800,915,T,1440,1720,OR
80002,BIOL,1440,4,Spring,2024,PRIN OF BIOLOGY I,"Runge, Steven W",TR,800,915,R,1050,1330,OR
80003,BIOL,1440,4,Spring,2024,PRIN OF BIOLOGY I,"Runge, Steven W",TR,800,915,M,1300,1550,OR
80004,BIOL,1440,4,Spring,2024,PRIN OF BIOLOGY I,"Runge, Steven W",TR,800,915,T,1050,1330,OR
80005,CHEM,1450,4,Spring,2024,COLLEGE CHEMISTRY I,"Long, Makenzie R",TR,1050,1205,T,1440,1720,RS
80006,CHEM,1450,4,Spring,2024,COLLEGE CHEMISTRY I,"Barber, Kevin N",T,1050,1330,MW,1500,1615,RS
80007,CHEM,1450,4,Spring,2024,COLLEGE CHEMISTRY I,,,,,,,,RS
80008,CHEM,1450,4,Spring,2024,COLLEGE CHEMISTRY I,"Massey, Marsha D",TR,800,915,W,1400,1650,RS
80009,CHEM,1450,4,Spring,2024,COLLEGE CHEMISTRY I,"Massey, Marsha D",TR,800,915,R,1050,1330,RS
80010,CHEM,1450,4,Spring,2024,COLLEGE CHEMISTRY I,"Massey, Marsha D",TR,800,915,R,1440,1720,RS
80011,CHEM,1450,4,Spring,2024,COLLEGE CHEMISTRY I,"Yang, Lei",MWF,900,950,M,1100,1350,RS
80012,CHEM,1450,4,Spring,2024,COLLEGE CHEMISTRY I,"Yang, Lei",MWF,900,950,M,1400,1650,RS
80013,CSCI,1470,4,Spring,2024,COMPUTER SCIENCE I,"Thessing, Karen M",MWF,1000,1050,M,1400,1550,RM
80014,CSCI,1470,4,Spring,2024,COMPUTER SCIENCE I,,MWF,1300,1350,F,1400,1550,RM
80015,CSCI,1470,4,Spring,2024,COMPUTER SCIENCE I,"Thessing, Karen M",MWF,1000,1050,M,1200,1350,RM
