CRN_KEY,SUBJ_CODE,CRSE_NUMBER,Credit_Hours,Semester,Year,Title,Instructor_Name,Meet_Days1,Begin_Time1,End_Time1,Meet_Days2,Begin_Time2,End_Time2,Category
70000,BIOL,1440,4,Fall,2024,PRIN OF BIOLOGY I,"Padberg, Jeffrey J",TR,800,915,W,1400,1650,OR
70001,BIOL,1440,4,Fall,2024,PRIN OF BIOLOGY I,"Padberg, Jeffrey J",TR,800,915,T,1440,1720,OR
70002,BIOL,1440,4,Fall,2024,PRIN OF BIOLOGY I,"Runge, Steven W",TR,800,915,R,1050,1330,OR
70003,BIOL,1440,4,Fall,2024,PRIN OF BIOLOGY I,"Runge, Steven W",TR,800,915,M,1300,1550,OR
70004,BIOL,1440,4,Fall,2024,PRIN OF BIOLOGY I,"Runge, Steven W",TR,800,915,T,1050,1330,OR
70005,CHEM,1450,4,Fall,2024,COLLEGE CHEMISTRY I,"Long, Makenzie R",TR,1050,1205,T,1440,1720,RS
70006,CHEM,1450,4,Fall,2024,COLLEGE CHEMISTRY I,"Barber, Kevin N",T,1050,1330,MW,1500,1615,RS
70007,CHEM,1450,4,Fall,2024,COLLEGE CHEMISTRY I,,,,,,,,RS
70008,CHEM,1450,4,Fall,2024,COLLEGE CHEMISTRY I,"Massey, Marsha D",TR,800,915,W,1400,1650,RS
70009,CHEM,1450,4,Fall,2024,COLLEGE CHEMISTRY I,"Massey, Marsha D",TR,800,915,R,1050,1330,RS
70010,CHEM,1450,4,Fall,2024,COLLEGE CHEMISTRY I,"Massey, Marsha D",TR,800,915,R,1440,1720,RS
70011,CHEM,1450,4,Fall,2024,COLLEGE CHEMISTRY I,"Yang, Lei",MWF,900,950,M,1100,1350,RS
70012,CHEM,1450,4,Fall,2024,COLLEGE CHEMISTRY I,"Yang, Lei",MWF,900,950,M,1400,1650,RS
70013,CSCI,1470,4,Fall,2024,COMPUTER SCIENCE I,"Thessing, Karen M",MWF,1000,1050,M,1400,1550,RM
70014,CSCI,1470,4,Fall,2024,COMPUTER SCIENCE I,,MWF,1300,1350,F,1400,1550,RM
70015,CSCI,1470,4,Fall,2024,COMPUTER SCIENCE I,"Thessing, Karen M",MWF,1000,1050,M,1200,1350,RM
70016,CSCI,1470,4,Fall,2024,COMPUTER SCIENCE I,"Thessing, Karen M",MWF,1100,1150,W,1200,1350,RM
70017,CSCI,1470,4,Fall,2024,COMPUTER SCIENCE I,"Thessing, Karen M",MWF,1200,1250,F,1300,1450,RM
70018,CSCI,1480,4,Fall,2024,COMPUTER SCIENCE II,"Smith, Mark R",MWF,1000,1050,M,1200,1350,RM
70019,CSCI,1480,4,Fall,2024,COMPUTER SCIENCE II,"Smith, Mark R",MWF,1000,1050,W,1200,1350,RM
70020,CSCI,1480,4,Fall,2024,COMPUTER SCIENCE II,"Smith, Mark R",MWF,1300,1350,M,1400,1550,RM
70021,CSCI,1480,4,Fall,2024,COMPUTER SCIENCE II,"Smith, Mark R",MWF,1300,1350,W,1400,1550,RM
70022,CSCI,2310,3,Fall,2024,INTRODUCTION TO DATA SCIENCE,"Talley, Patricia M",MWF,1300,1350,,,,EL
70023,CSCI,2320,3,Fall,2024,DATA STRUCTURES,"Talley, Patricia M",MWF,900,950,,,,RM
70024,CSCI,2320,3,Fall,2024,DATA STRUCTURES,"Talley, Patricia M",MWF,1400,1450,,,,RM
70025,CSCI,2330,3,Fall,2024,DISCRETE MATHEMATICS,"Hu, Chenyi",MWF,900,950,,,,RM
70026,CSCI,2330,3,Fall,2024,DISCRETE MATHEMATICS,"Hu, Chenyi",MWF,1600,1650,,,,RM
70027,CSCI,2335,3,Fall,2024,NETWORKING,"Erdin, Enes",TR,800,915,,,,RM
70028,CSCI,2335,3,Fall,2024,NETWORKING,"Erdin, Enes",TR,925,1040,,,,RM
70029,CSCI,2340,3,Fall,2024,ASSEMBLY LANGUAGE PROGRAMMING,"Talley, Patricia M",MWF,1100,1150,,,,EL
70030,CSCI,2340,3,Fall,2024,ASSEMBLY LANGUAGE PROGRAMMING,"Talley, Patricia M",MWF,1000,1050,,,,EL
70031,CSCI,3330,3,Fall,2024,ALGORITHMS,"Hu, Chenyi",MWF,1100,1150,,,,RM
70032,CSCI,3360,3,Fall,2024,DATABASE SYSTEMS,"Chen, Bernard",TR,1050,1205,,,,RM
70033,CSCI,3360,3,Fall,2024,DATABASE SYSTEMS,"Chen, Bernard",TR,1215,1330,,,,RM
70034,CSCI,3370,3,Fall,2024,PRINCIPLES PROGRAMMING LANGS,"Paruchuri, Vamsi K",TR,1215,1330,,,,RM
70035,CSCI,3380,3,Fall,2024,COMPUTER ARCHITECTURE,"Thompson, Skyler J",MWF,1400,1450,,,,RM
70036,CSCI,3380,3,Fall,2024,COMPUTER ARCHITECTURE,"Thompson, Skyler J",,,,,,,RM
70037,CSCI,3381,3,Fall,2024,O-O SOFTWARE DEVELOPMENT JAVA,"Doderer, Mark S",MWF,900,950,,,,RM
70038,CSCI,3381,3,Fall,2024,O-O SOFTWARE DEVELOPMENT JAVA,"Doderer, Mark S",MWF,800,850,,,,RM
