CRN_KEY,SUBJ_CODE,CRSE_NUMBER,Credit_Hours,Semester,Year,Title,Instructor_Name,Meet_Days1,Begin_Time1,End_Time1,Meet_Days2,Begin_Time2,End_Time2,Category
30000,BIOL,1440,4,Fall,2022,PRIN OF BIOLOGY I,"Padberg, Jeffrey J",TR,800,915,W,1400,1650,OR
30001,BIOL,1440,4,Fall,2022,PRIN OF BIOLOGY I,"Padberg, Jeffrey J",TR,800,915,T,1440,1720,OR
30002,BIOL,1440,4,Fall,2022,PRIN OF BIOLOGY I,"Runge, Steven W",TR,800,915,R,1050,1330,OR
30003,BIOL,1440,4,Fall,2022,PRIN OF BIOLOGY I,"Runge, Steven W",TR,800,915,M,1300,1550,OR
30004,BIOL,1440,4,Fall,2022,PRIN OF BIOLOGY I,"Runge, Steven W",TR,800,915,T,1050,1330,OR
30005,CHEM,1450,4,Fall,2022,COLLEGE CHEMISTRY I,"Long, Makenzie R",TR,1050,1205,T,1440,1720,RS
30006,CHEM,1450,4,Fall,2022,COLLEGE CHEMISTRY I,"Barber, Kevin N",T,1050,1330,MW,1500,1615,RS
30007,CHEM,1450,4,Fall,2022,COLLEGE CHEMISTRY I,,,,,,,,RS
30008,CHEM,1450,4,Fall,2022,COLLEGE CHEMISTRY I,"Massey, Marsha D",TR,800,915,W,1400,1650,RS
30009,CHEM,1450,4,Fall,2022,COLLEGE CHEMISTRY I,"Massey, Marsha D",TR,800,915,R,1050,1330,RS
30010,CHEM,1450,4,Fall,2022,COLLEGE CHEMISTRY I,"Massey, Marsha D",TR,800,915,R,1440,1720,RS
30011,CHEM,1450,4,Fall,2022,COLLEGE CHEMISTRY I,"Yang, Lei",MWF,900,950,M,1100,1350,RS
30012,CHEM,1450,4,Fall,2022,COLLEGE CHEMISTRY I,"Yang, Lei",MWF,900,950,M,1400,1650,RS
30013,CSCI,1470,4,Fall,2022,COMPUTER SCIENCE I,"Thessing, Karen M",MWF,1000,1050,M,1400,1550,RM
30014,CSCI,1470,4,Fall,2022,COMPUTER SCIENCE I,,MWF,1300,1350,F,1400,1550,RM
30015,CSCI,1470,4,Fall,2022,COMPUTER SCIENCE I,"Thessing, Karen M",MWF,1000,1050,M,1200,1350,RM
30016,CSCI,1470,4,Fall,2022,COMPUTER SCIENCE I,"Thessing, Karen M",MWF,1100,1150,W,1200,1350,RM
30017,CSCI,1470,4,Fall,2022,COMPUTER SCIENCE I,"Thessing, Karen M",MWF,1200,1250,F,1300,1450,RM
30018,CSCI,1480,4,Fall,2022,COMPUTER SCIENCE II,"Smith, Mark R",MWF,1000,1050,M,1200,1350,RM
30019,CSCI,1480,4,Fall,2022,COMPUTER SCIENCE II,"Smith, Mark R",MWF,1000,1050,W,1200,1350,RM
30020,CSCI,1480,4,Fall,2022,COMPUTER SCIENCE II,"Smith, Mark R",MWF,1300,1350,M,1400,1550,RM
30021,CSCI,1480,4,Fall,2022,COMPUTER SCIENCE II,"Smith, Mark R",MWF,1300,1350,W,1400,1550,RM
30022,CSCI,2310,3,Fall,2022,INTRODUCTION TO DATA SCIENCE,"Talley, Patricia M",MWF,1300,1350,,,,EL
30023,CSCI,2320,3,Fall,2022,DATA STRUCTURES,"Talley, Patricia M",MWF,900,950,,,,RM
30024,CSCI,2320,3,Fall,2022,DATA STRUCTURES,"Talley, Patricia M",MWF,1400,1450,,,,RM
30025,CSCI,2330,3,Fall,2022,DISCRETE MATHEMATICS,"Hu, Chenyi",MWF,900,950,,,,RM
30026,CSCI,2330,3,Fall,2022,DISCRETE MATHEMATICS,"Hu, Chenyi",MWF,1600,1650,,,,RM
30027,CSCI,2335,3,Fall,2022,NETWORKING,"Erdin, Enes",TR,800,915,,,,RM
30028,CSCI,2335,3,Fall,2022,NETWORKING,"Erdin, Enes",TR,925,1040,,,,RM
30029,CSCI,2340,3,Fall,2022,ASSEMBLY LANGUAGE PROGRAMMING,"Talley, Patricia M",MWF,1100,1150,,,,EL
30030,CSCI,2340,3,Fall,2022,ASSEMBLY LANGUAGE PROGRAMMING,"Talley, Patricia M",MWF,1000,1050,,,,EL
30031,CSCI,3330,3,Fall,2022,ALGORITHMS,"Hu, Chenyi",MWF,1100,1150,,,,RM
30032,CSCI,3360,3,Fall,2022,DATABASE SYSTEMS,"Chen, Bernard",TR,1050,1205,,,,RM
30033,CSCI,3360,3,Fall,2022,DATABASE SYSTEMS,"Chen, Bernard",TR,1215,1330,,,,RM
30034,CSCI,3370,3,Fall,2022,PRINCIPLES PROGRAMMING LANGS,"Paruchuri, Vamsi K",TR,1215,1330,,,,RM
30035,CSCI,3380,3,Fall,2022,COMPUTER ARCHITECTURE,"Thompson, Skyler J",MWF,1400,1450,,,,RM
30036,CSCI,3380,3,Fall,2022,COMPUTER ARCHITECTURE,"Thompson, Skyler J",,,,,,,RM
30037,CSCI,3381,3,Fall,2022,O-O SOFTWARE DEVELOPMENT JAVA,"Doderer, Mark S",MWF,900,950,,,,RM
30038,CSCI,3381,3,Fall,2022,O-O SOFTWARE DEVELOPMENT JAVA,"Doderer, Mark S",MWF,800,850,,,,RM
30039,CSCI,3385,3,Fall,2022,ARTIFICIAL INTELLIGENCE,,MWF,1400,1450,,,,EL
30040,CSCI,4300,3,Fall,2022,OPERATING SYSTEMS,"Sun, Yu",TR,800,915,,,,RM
30041,CSCI,4300,3,Fall,2022,OPERATING SYSTEMS,"Sun, Yu",TR,1050,1205,,,,RM
30042,CSCI,4305,3,Fall,2022,LINUX/UNIX SYSTEMS,"Corkran, Jacob A",TR,1050,1205,,,,EL
30043,CSCI,4310,3,Fall,2022,NUM METHODS FOR DATA SCIENCE,,MWF,1000,1050,,,,EL
30044,CSCI,4315,3,Fall,2022,INFORMATION SECURITY,"Paruchuri, Vamsi K",MWF,800,850,,,,RM
30045,CSCI,4315,3,Fall,2022,INFORMATION SECURITY,"Paruchuri, Vamsi K",TR,925,1040,,,,RM
