CRN_KEY,SUBJ_CODE,CRSE_NUMBER,Credit_Hours,Semester,Year,Title,Instructor_Name,Meet_Days1,Begin_Time1,End_Time1,Meet_Days2,Begin_Time2,End_Time2,Category
50049,CSCI,4350,3,Fall,2023,COMPUTER GRAPHICS,,,,,,,,EL
50050,CSCI,4352,3,Fall,2023,GAME PROGRAMMING,"Halic, Tansel",TR,1440,1555,,,,EL
50051,CSCI,4353,3,Fall,2023,INTRO TO MULTIMEDIA COMPUTING,"Sun, Yu",TR,1215,1330,,,,EL
50052,CSCI,4357,3,Fall,2023,PROGRAMMING MOBILE DEVICES,"Smith, Mark R",MWF,1100,1150,,,,EL
50053,CSCI,4371,3,Fall,2023,MACHINE LEARNING,,,,,,,,EL
50054,CSCI,4372,3,Fall,2023,DATA CLUSTERING,"Celebi, Mehemmed E",,0,2359,,,,EL
50055,CSCI,4390,3,Fall,2023,THEORY OF COMPUTATION,"Kockara, Sinan",,0,2359,,,,EL
50056,CSCI,4490,4,Fall,2023,SOFTWARE ENGINEERING,"Smith, Mark R",TR,1440,1620,,,,RM
50057,CSEC,2300,3,Fall,2023,INTRODUCTION TO CYBERSECURITY,"Alsharif, Ahmad H",TR,1050,1205,,,,EL
50058,CSEC,3300,3,Fall,2023,NUMBER THEORY AND CRYPTOGRAPHY,,MWF,1100,1150,,,,EL
50059,CSEC,3320,3,Fall,2023,COMPUTER FORENSICS,,TR,1215,1330,,,,EL
50060,CSEC,4320,3,Fall,2023,ETHICAL HACKING,"Erdin, Enes",TR,1215,1330,,,,EL
50061,CSEC,4335,3,Fall,2023,NETWORK SECURITY,,,,,,,,EL
50062,MATH,1390,3,Fall,2023,COLLEGE ALGEBRA,"Moody, Kaitlyn N",TR,1215,1330,,,,CM
50063,MATH,1390,3,Fall,2023,COLLEGE ALGEBRA,"Allred, Jordan R",MWF,1300,1350,,,,CM
50064,MATH,1390,3,Fall,2023,COLLEGE ALGEBRA,"Johnson, Gillian N",TR,1050,1205,,,,CM
50065,MATH,1491,4,Fall,2023,APPLIED CALCULUS FOR LIFE SCI,"Johnson, Garth B",,,,,,,CM
50066,MATH,1491,4,Fall,2023,APPLIED CALCULUS FOR LIFE SCI,"Johnson, Garth B",,,,,,,CM
50067,MATH,1496,4,Fall,2023,CALCULUS I,,,,,,,,CM
50068,MATH,1496,4,Fall,2023,CALCULUS I,"Dong, Yinlin",MWF,1200,1250,TR,1215,1330,CM
50069,MATH,2311,3,Fall,2023,ELEMENTARY STATISTICS,"Kwon, Ye I",TR,1050,1205,,,,CM
50070,MATH,2311,3,Fall,2023,ELEMENTARY STATISTICS,"Kwon, Ye I",MWF,1100,1150,,,,CM
50071,MATH,2311,3,Fall,2023,ELEMENTARY STATISTICS,"Kwon, Ye I",MWF,1300,1350,,,,CM
50072,MATH,3311,3,Fall,2023,STATISTICAL METHODS,"Kwon, Ye I",MWF,1500,1550,,,,AM
50073,MATH,3311,3,Fall,2023,STATISTICAL METHODS,,,,,,,,AM
50074,MATH,3320,3,Fall,2023,LINEAR ALGEBRA,"Beyerl, Jeffrey",MWF,1100,1150,,,,CM
50075,MATH,3320,3,Fall,2023,LINEAR ALGEBRA,"Le, Long",TR,925,1040,,,,CM
50076,PHYS,1410,4,Fall,2023,COLLEGE PHYSICS 1,"Lusk, Jeremy A",T,800,1040,MWF,1000,1050,RS
50077,PHYS,1410,4,Fall,2023,COLLEGE PHYSICS 1,"Lusk, Jeremy A",MWF,1000,1050,T,1050,1330,RS
50078,PHYS,1410,4,Fall,2023,COLLEGE PHYSICS 1,"Menon, Balraj S",MWF,800,850,R,1050,1330,RS
