CRN_KEY,SUBJ_CODE,CRSE_NUMBER,Credit_Hours,Semester,Year,Title,Instructor_Name,Meet_Days1,Begin_Time1,End_Time1,Meet_Days2,Begin_Time2,End_Time2,Category
40000,BIOL,1440,4,Spring,2022,PRIN OF BIOLOGY I,"Padberg, Jeffrey J",TR,800,915,W,1400,1650,OR
40001,BIOL,1440,4,Spring,2022,PRIN OF BIOLOGY I,"Padberg, Jeffrey J",TR,800,915,T,1440,1720,OR
40002,BIOL,1440,4,Spring,2022,PRIN OF BIOLOGY I,"Runge, Steven W",TR,800,915,R,1050,1330,OR
40003,BIOL,1440,4,Spring,2022,PRIN OF BIOLOGY I,"Runge, Steven W",TR,800,915,M,1300,1550,OR
40004,BIOL,1440,4,Spring,2022,PRIN OF BIOLOGY I,"Runge, Steven W",TR,800,915,T,1050,1330,OR
40005,CHEM,1450,4,Spring,2022,COLLEGE CHEMISTRY I,"Long, Makenzie R",TR,1050,1205,T,1440,1720,RS
40006,CHEM,1450,4,Spring,2022,COLLEGE CHEMISTRY I,"Barber, Kevin N",T,1050,1330,MW,1500,1615,RS
40007,CHEM,1450,4,Spring,2022,COLLEGE CHEMISTRY I,,,,,,,,RS
40008,CHEM,1450,4,Spring,2022,COLLEGE CHEMISTRY I,"Massey, Marsha D",TR,800,915,W,1400,1650,RS
40009,CHEM,1450,4,Spring,2022,COLLEGE CHEMISTRY I,"Massey, Marsha D",TR,800,915,R,1050,1330,RS
40010,CHEM,1450,4,Spring,2022,COLLEGE CHEMISTRY I,"Massey, Marsha D",TR,800,915,R,1440,1720,RS
40011,CHEM,1450,4,Spring,2022,COLLEGE CHEMISTRY I,"Yang, Lei",MWF,900,950,M,1100,1350,RS
40012,CHEM,1450,4,Spring,2022,COLLEGE CHEMISTRY I,"Yang, Lei",MWF,900,950,M,1400,1650,RS
40013,CSCI,1470,4,Spring,2022,COMPUTER SCIENCE I,"Thessing, Karen M",MWF,1000,1050,M,1400,1550,RM
40014,CSCI,1470,4,Spring,2022,COMPUTER SCIENCE I,,MWF,1300,1350,F,1400,1550,RM
40015,CSCI,1470,4,Spring,2022,COMPUTER SCIENCE I,"Thessing, Karen M",MWF,1000,1050,M,1200,1350,RM
40016,CSCI,1470,4,Spring,2022,COMPUTER SCIENCE I,"Thessing, Karen M",MWF,1100,1150,W,1200,1350,RM
40017,CSCI,1470,4,Spring,2022,COMPUTER SCIENCE I,"Thessing, Karen M",MWF,1200,1250,F,1300,1450,RM
40018,CSCI,1480,4,Spring,2022,COMPUTER SCIENCE II,"Smith, Mark R",MWF,1000,1050,M,1200,1350,RM
40019,CSCI,1480,4,Spring,2022,COMPUTER SCIENCE II,"Smith, Mark R",MWF,1000,1050,W,1200,1350,RM
40020,CSCI,1480,4,Spring,2022,COMPUTER SCIENCE II,"Smith, Mark R",MWF,1300,1350,M,1400,1550,RM
40021,CSCI,1480,4,Spring,2022,COMPUTER SCIENCE II,"Smith, Mark R",MWF,1300,1350,W,1400,1550,RM
40022,CSCI,2310,3,Spring,2022,INTRODUCTION TO DATA SCIENCE,"Talley, Patricia M",MWF,1300,1350,,,,EL
40023,CSCI,2320,3,Spring,2022,DATA STRUCTURES,"Talley, Patricia M",MWF,900,950,,,,RM
40024,CSCI,2320,3,Spring,2022,DATA STRUCTURES,"Talley, Patricia M",MWF,1400,1450,,,,RM
40025,CSCI,2330,3,Spring,2022,DISCRETE MATHEMATICS,"Hu, Chenyi",MWF,900,950,,,,RM
40026,CSCI,2330,3,Spring,2022,DISCRETE MATHEMATICS,"Hu, Chenyi",MWF,1600,1650,,,,RM
40027,CSCI,2335,3,Spring,2022,NETWORKING,"Erdin, Enes",TR,800,915,,,,RM
40028,CSCI,2335,3,Spring,2022,NETWORKING,"Erdin, Enes",TR,925,1040,,,,RM
40029,CSCI,2340,3,Spring,2022,ASSEMBLY LANGUAGE PROGRAMMING,"Talley, Patricia M",MWF,1100,1150,,,,EL
40030,CSCI,2340,3,Spring,2022,ASSEMBLY LANGUAGE PROGRAMMING,"Talley, Patricia M",MWF,1000,1050,,,,EL
40031,CSCI,3330,3,Spring,2022,ALGORITHMS,"Hu, Chenyi",MWF,1100,1150,,,,RM
40032,CSCI,3360,3,Spring,2022,DATABASE SYSTEMS,"Chen, Bernard",TR,1050,1205,,,,RM
40033,CSCI,3360,3,Spring,2022,DATABASE SYSTEMS,"Chen, Bernard",TR,1215,1330,,,,RM
40034,CSCI,3370,3,Spring,2022,PRINCIPLES PROGRAMMING LANGS,"Paruchuri, Vamsi K",TR,1215,1330,,,,RM
40035,CSCI,3380,3,Spring,2022,COMPUTER ARCHITECTURE,"Thompson, Skyler J",MWF,1400,1450,,,,RM
40036,CSCI,3380,3,Spring,2022,COMPUTER ARCHITECTURE,"Thompson, Skyler J",,,,,,,RM
40037,CSCI,3381,3,Spring,2022,O-O SOFTWARE DEVELOPMENT JAVA,"Doderer, Mark S",MWF,900,950,,,,RM
40038,CSCI,3381,3,Spring,2022,O-O SOFTWARE DEVELOPMENT JAVA,"Doderer, Mark S",MWF,800,850,,,,RM
40039,CSCI,3385,3,Spring,2022,ARTIFICIAL INTELLIGENCE,,MWF,1400,1450,,,,EL
40040,CSCI,4300,3,Spring,2022,OPERATING SYSTEMS,"Sun, Yu",TR,800,915,,,,RM
40041,CSCI,4300,3,Spring,2022,OPERATING SYSTEMS,"Sun, Yu",TR,1050,1205,,,,RM
40042,CSCI,4305,3,Spring,2022,LINUX/UNIX SYSTEMS,"Corkran, Jacob A",TR,1050,1205,,,,EL
40043,CSCI,4310,3,Spring,2022,NUM METHODS FOR DATA SCIENCE,,MWF,1000,1050,,,,EL
40044,CSCI,4315,3,Spring,2022,INFORMATION SECURITY,"Paruchuri, Vamsi K",MWF,800,850,,,,RM
40045,CSCI,4315,3,Spring,2022,INFORMATION SECURITY,"Paruchuri, Vamsi K",TR,925,1040,,,,RM
40046,CSCI,4321,3,Spring,2022,ETHICAL IMPLICATIONS OF TECHNO,"Doderer, Mark S",MWF,1100,1150,,,,RM
40047,CSCI,4321,3,Spring,2022,ETHICAL IMPLICATIONS OF TECHNO,"Doderer, Mark S",MWF,1300,1350,,,,RM
40048,CSCI,4340,3,Spring,2022,INTRO PARALLEL PROGRAMMING,"Kockara, Sinan",,0,2359,,,,EL
40049,CSCI,4350,3,Spring,2022,COMPUTER GRAPHICS,,,,,,,,EL
40050,CSCI,4352,3,Spring,2022,GAME PROGRAMMING,"Halic, Tansel",TR,1440,1555,,,,EL
40051,CSCI,4353,3,Spring,2022,INTRO TO MULTIMEDIA COMPUTING,"Sun, Yu",TR,1215,1330,,,,EL
40052,CSCI,4357,3,Spring,2022,PROGRAMMING MOBILE DEVICES,"Smith, Mark R",MWF,1100,1150,,,,EL
40053,CSCI,4371,3,Spring,2022,MACHINE LEARNING,,,,,,,,EL
40054,CSCI,4372,3,Spring,2022,DATA CLUSTERING,"Celebi, Mehemmed E",,0,2359,,,,EL
40055,CSCI,4390,3,Spring,2022,THEORY OF COMPUTATION,"Kockara, Sinan",,0,2359,,,,EL
40056,CSCI,4490,4,Spring,2022,SOFTWARE ENGINEERING,"Smith, Mark R",TR,1440,1620,,,,RM
40057,CSEC,2300,3,Spring,2022,INTRODUCTION TO CYBERSECURITY,"Alsharif, Ahmad H",TR,1050,1205,,,,EL
40058,CSEC,3300,3,Spring,2022,NUMBER THEORY AND CRYPTOGRAPHY,,MWF,1100,1150,,,,EL
40059,CSEC,3320,3,Spring,2022,COMPUTER FORENSICS,,TR,1215,1330,,,,EL
40060,CSEC,4320,3,Spring,2022,ETHICAL HACKING,"Erdin, Enes",TR,1215,1330,,,,EL
40061,CSEC,4335,3,Spring,2022,NETWORK SECURITY,,,,,,,,EL
40062,MATH,1390,3,Spring,2022,COLLEGE ALGEBRA,"Moody, Kaitlyn N",TR,1215,1330,,,,CM
40063,MATH,1390,3,Spring,2022,COLLEGE ALGEBRA,"Allred, Jordan R",MWF,1300,1350,,,,CM
40064,MATH,1390,3,Spring,2022,COLLEGE ALGEBRA,"Johnson, Gillian N",TR,1050,1205,,,,CM
40065,MATH,1491,4,Spring,2022,APPLIED CALCULUS FOR LIFE SCI,"Johnson, Garth B",,,,,,,CM
40066,MATH,1491,4,Spring,2022,APPLIED CALCULUS FOR LIFE SCI,"Johnson, Garth B",,,,,,,CM
40067,MATH,1496,4,Spring,2022,CALCULUS I,,,,,,,,CM
40068,MATH,1496,4,Spring,2022,CALCULUS I,"Dong, Yinlin",MWF,1200,1250,TR,1215,1330,CM
40069,MATH,2311,3,Spring,2022,ELEMENTARY STATISTICS,"Kwon, Ye I",TR,1050,1205,,,,CM
40070,MATH,2311,3,Spring,2022,ELEMENTARY STATISTICS,"Kwon, Ye I",MWF,1100,1150,,,,CM
40071,MATH,2311,3,Spring,2022,ELEMENTARY STATISTICS,"Kwon, Ye I",MWF,1300,1350,,,,CM
40072,MATH,3311,3,Spring,2022,STATISTICAL METHODS,"Kwon, Ye I",MWF,1500,1550,,,,AM
40073,MATH,3311,3,Spring,2022,STATISTICAL METHODS,,,,,,,,AM
40074,MATH,3320,3,Spring,2022,LINEAR ALGEBRA,"Beyerl, Jeffrey",MWF,1100,1150,,,,CM
40075,MATH,3320,3,Spring,2022,LINEAR ALGEBRA,"Le, Long",TR,925,1040,,,,CM
40076,PHYS,1410,4,Spring,2022,COLLEGE PHYSICS 1,"Lusk, Jeremy A",T,800,1040,MWF,1000,1050,RS
40077,PHYS,1410,4,Spring,2022,COLLEGE PHYSICS 1,"Lusk, Jeremy A",MWF,1000,1050,T,1050,1330,RS
40078,PHYS,1410,4,Spring,2022,COLLEGE PHYSICS 1,"Menon, Balraj S",MWF,800,850,R,1050,1330,RS
